iter,train_loss,sim_loss,reg_loss,valid_loss,sim_loss,reg_loss
65,0.754893,0.752258,0.012137,0.251294,0.792162,0.789514,0.012371,0.252366
66,0.754711,0.752082,0.013008,0.249957,0.792751,0.790179,0.011375,0.245845
67,0.754904,0.752327,0.011744,0.246004,0.791442,0.788854,0.011995,0.246863
68,0.754633,0.752024,0.012552,0.248340,0.792832,0.790244,0.011734,0.246993
69,0.754801,0.752173,0.012028,0.250737,0.791508,0.788847,0.012175,0.253991
70,0.755316,0.752693,0.012648,0.249643,0.795886,0.793416,0.011717,0.235293
----time_used: 170.056035
71,0.754454,0.751865,0.012577,0.246282,0.789537,0.786784,0.012367,0.262898
72,0.754183,0.751492,0.012621,0.256458,0.795347,0.792855,0.011901,0.237270
73,0.754438,0.751873,0.012207,0.244260,0.790151,0.787457,0.011990,0.257361
74,0.753845,0.751132,0.012719,0.258557,0.793026,0.790404,0.012399,0.249768
75,0.753771,0.751105,0.013070,0.253555,0.790263,0.787546,0.012389,0.259248
76,0.754002,0.751303,0.012896,0.257038,0.791667,0.789043,0.012972,0.249457
77,0.753068,0.750394,0.013048,0.254358,0.790460,0.787715,0.012107,0.262352
78,0.752501,0.749764,0.012962,0.260799,0.792071,0.789402,0.013307,0.253627
79,0.752432,0.749727,0.013303,0.257241,0.790203,0.787457,0.012255,0.262335
80,0.752079,0.749304,0.012958,0.264563,0.792066,0.789295,0.013454,0.263606
----time_used: 193.607660
81,0.751853,0.749081,0.013658,0.263541,0.790084,0.787297,0.012868,0.265858
82,0.751618,0.748826,0.013297,0.265868,0.791302,0.788543,0.013238,0.262639
83,0.751074,0.748269,0.013613,0.266850,0.790092,0.787241,0.013069,0.271949
84,0.751129,0.748283,0.013543,0.271055,0.791137,0.788335,0.013241,0.266919
85,0.750895,0.748073,0.013682,0.268569,0.790159,0.787328,0.013703,0.269364
86,0.750797,0.747955,0.013635,0.270596,0.791132,0.788312,0.012606,0.269451
87,0.750351,0.747525,0.013388,0.269202,0.790030,0.787202,0.013881,0.268919
88,0.750416,0.747572,0.013862,0.270507,0.790808,0.787956,0.012955,0.272309
89,0.749790,0.746904,0.013503,0.275159,0.790321,0.787443,0.013851,0.273992
90,0.749601,0.746718,0.014087,0.274216,0.790836,0.787960,0.013466,0.274208
----time_used: 216.685298
91,0.749061,0.746136,0.013876,0.278669,0.789822,0.786902,0.013792,0.278177
92,0.748795,0.745883,0.013961,0.277238,0.790919,0.788047,0.013464,0.273729
93,0.748711,0.745795,0.013912,0.277640,0.789563,0.786644,0.013792,0.278124
94,0.748279,0.745351,0.013967,0.278930,0.790536,0.787649,0.013488,0.275262
95,0.747976,0.745050,0.013906,0.278694,0.790073,0.787146,0.013797,0.278930
96,0.747777,0.744816,0.014097,0.281938,0.789915,0.786978,0.013760,0.279932
97,0.747535,0.744578,0.014074,0.281574,0.790149,0.787221,0.013801,0.278961
98,0.747382,0.744420,0.014121,0.282104,0.790066,0.787116,0.013849,0.281122
99,0.747222,0.744245,0.014147,0.283517,0.790061,0.787112,0.013857,0.281035
100,0.747144,0.744167,0.014148,0.283520,0.790061,0.787112,0.013857,0.281035
----time_used: 239.775405
final_train_loss = 0.754454,final_valid_loss = 0.789537
